company_id,name,region,group_id
104,Company 104,West,5
105,Company 105,North,6
106,Company 106,South,7
107,Company 107,West,8
108,Company 108,North,9
109,Company 109,South,10
110,Company 110,West,1
111,Company 111,North,2
112,Company 112,South,3
113,Company 113,West,4
114,Company 114,North,5
115,Company 115,South,6
116,Company 116,West,7
117,Company 117,North,8
118,Company 118,South,9
119,Company 119,West,10
120,Company 120,North,1
121,Company 121,South,2
122,Company 122,West,3
123,Company 123,North,4
124,Company 124,South,5
125,Company 125,West,6
126,Company 126,North,7
127,Company 127,South,8
128,Company 128,West,9
129,Company 129,North,10
130,Company 130,South,1
131,Company 131,West,2
132,Company 132,North,3
133,Company 133,South,4
134,Company 134,West,5
135,Company 135,North,6
136,Company 136,South,7
137,Company 137,West,8
138,Company 138,North,9
139,Company 139,South,10
140,Company 140,West,1
141,Company 141,North,2
142,Company 142,South,3
143,Company 143,West,4
144,Company 144,North,5
145,Company 145,South,6
146,Company 146,West,7
147,Company 147,North,8
148,Company 148,South,9
149,Company 149,West,10
150,Company 150,North,1
151,Company 151,South,2
152,Company 152,West,3
153,Company 153,North,4
154,Company 154,South,5
155,Company 155,West,6
156,Company 156,North,7
157,Company 157,South,8
158,Company 158,West,9
159,Company 159,North,10
160,Company 160,South,1
161,Company 161,West,2
162,Company 162,North,3
163,Company 163,South,4
164,Company 164,West,5
165,Company 165,North,6
166,Company 166,South,7
167,Company 167,West,8
168,Company 168,North,9
169,Company 169,South,10
170,Company 170,West,1
171,Company 171,North,2
172,Company 172,South,3
173,Company 173,West,4
174,Company 174,North,5
175,Company 175,South,6
176,Company 176,West,7
177,Company 177,North,8
178,Company 178,South,9
179,Company 179,West,10
180,Company 180,North,1
181,Company 181,South,2
182,Company 182,West,3
183,Company 183,North,4
184,Company 184,South,5
185,Company 185,West,6
186,Company 186,North,7
187,Company 187,South,8
188,Company 188,West,9
189,Company 189,North,10
190,Company 190,South,1
191,Company 191,West,2
192,Company 192,North,3
193,Company 193,South,4
194,Company 194,West,5
195,Company 195,North,6
196,Company 196,South,7
197,Company 197,West,8
198,Company 198,North,9
199,Company 199,South,10
200,Company 200,West,1
201,Company 201,North,2
202,Company 202,South,3
203,Company 203,West,4
204,Company 204,North,5
205,Company 205,South,6
206,Company 206,West,7
207,Company 207,North,8
208,Company 208,South,9
209,Company 209,West,10
210,Company 210,North,1
211,Company 211,South,2
212,Company 212,West,3
213,Company 213,North,4
214,Company 214,South,5
215,Company 215,West,6
216,Company 216,North,7
217,Company 217,South,8
218,Company 218,West,9
219,Company 219,North,10
220,Company 220,South,1
221,Company 221,West,2
222,Company 222,North,3
223,Company 223,South,4
224,Company 224,West,5
225,Company 225,North,6
226,Company 226,South,7
227,Company 227,West,8
228,Company 228,North,9
229,Company 229,South,10
230,Company 230,West,1
231,Company 231,North,2
232,Company 232,South,3
233,Company 233,West,4
234,Company 234,North,5
235,Company 235,South,6
236,Company 236,West,7
237,Company 237,North,8
238,Company 238,South,9
239,Company 239,West,10
240,Company 240,North,1
241,Company 241,South,2
242,Company 242,West,3
243,Company 243,North,4
244,Company 244,South,5
245,Company 245,West,6
246,Company 246,North,7
247,Company 247,South,8
248,Company 248,West,9
249,Company 249,North,10
250,Company 250,South,1
251,Company 251,West,2
252,Company 252,North,3
253,Company 253,South,4
254,Company 254,West,5
255,Company 255,North,6
256,Company 256,South,7
257,Company 257,West,8
258,Company 258,North,9
259,Company 259,South,10
260,Company 260,West,1
261,Company 261,North,2
262,Company 262,South,3
263,Company 263,West,4
264,Company 264,North,5
265,Company 265,South,6
266,Company 266,West,7
267,Company 267,North,8
268,Company 268,South,9
269,Company 269,West,10
270,Company 270,North,1
271,Company 271,South,2
272,Company 272,West,3
273,Company 273,North,4
274,Company 274,South,5
275,Company 275,West,6
276,Company 276,North,7
277,Company 277,South,8
278,Company 278,West,9
279,Company 279,North,10
280,Company 280,South,1
281,Company 281,West,2
282,Company 282,North,3
283,Company 283,South,4
284,Company 284,West,5
285,Company 285,North,6
286,Company 286,South,7
287,Company 287,West,8
288,Company 288,North,9
289,Company 289,South,10
290,Company 290,West,1
291,Company 291,North,2
292,Company 292,South,3
293,Company 293,West,4
294,Company 294,North,5
295,Company 295,South,6
296,Company 296,West,7
297,Company 297,North,8
298,Company 298,South,9
299,Company 299,West,10
300,Company 300,North,1
301,Company 301,South,2
302,Company 302,West,3
303,Company 303,North,4
304,Company 304,South,5
305,Company 305,West,6
306,Company 306,North,7
307,Company 307,South,8
308,Company 308,West,9
309,Company 309,North,10
310,Company 310,South,1
311,Company 311,West,2
312,Company 312,North,3
313,Company 313,South,4
314,Company 314,West,5
315,Company 315,North,6
316,Company 316,South,7
317,Company 317,West,8
318,Company 318,North,9
319,Company 319,South,10
320,Company 320,West,1
321,Company 321,North,2
322,Company 322,South,3
323,Company 323,West,4
324,Company 324,North,5
325,Company 325,South,6
326,Company 326,West,7
327,Company 327,North,8
328,Company 328,South,9
329,Company 329,West,10
330,Company 330,North,1
331,Company 331,South,2
332,Company 332,West,3
333,Company 333,North,4
334,Company 334,South,5
335,Company 335,West,6
336,Company 336,North,7
337,Company 337,South,8
338,Company 338,West,9
339,Company 339,North,10
340,Company 340,South,1
341,Company 341,West,2
342,Company 342,North,3
343,Company 343,South,4
344,Company 344,West,5
345,Company 345,North,6
346,Company 346,South,7
347,Company 347,West,8
348,Company 348,North,9
349,Company 349,South,10
350,Company 350,West,1
351,Company 351,North,2
352,Company 352,South,3
353,Company 353,West,4
354,Company 354,North,5
355,Company 355,South,6
356,Company 356,West,7
357,Company 357,North,8
358,Company 358,South,9
359,Company 359,West,10
360,Company 360,North,1
361,Company 361,South,2
362,Company 362,West,3
363,Company 363,North,4
364,Company 364,South,5
365,Company 365,West,6
366,Company 366,North,7
367,Company 367,South,8
368,Company 368,West,9
369,Company 369,North,10
370,Company 370,South,1
371,Company 371,West,2
372,Company 372,North,3
373,Company 373,South,4
374,Company 374,West,5
375,Company 375,North,6
376,Company 376,South,7
377,Company 377,West,8
378,Company 378,North,9
379,Company 379,South,10
380,Company 380,West,1
381,Company 381,North,2
382,Company 382,South,3
383,Company 383,West,4
384,Company 384,North,5
385,Company 385,South,6
386,Company 386,West,7
387,Company 387,North,8
388,Company 388,South,9
389,Company 389,West,10
390,Company 390,North,1
391,Company 391,South,2
392,Company 392,West,3
393,Company 393,North,4
394,Company 394,South,5
395,Company 395,West,6
396,Company 396,North,7
397,Company 397,South,8
398,Company 398,West,9
399,Company 399,North,10
400,Company 400,South,1
401,Company 401,West,2
402,Company 402,North,3
403,Company 403,South,4
404,Company 404,West,5
405,Company 405,North,6
406,Company 406,South,7
407,Company 407,West,8
408,Company 408,North,9
409,Company 409,South,10
410,Company 410,West,1
411,Company 411,North,2
412,Company 412,South,3
413,Company 413,West,4
414,Company 414,North,5
415,Company 415,South,6
416,Company 416,West,7
417,Company 417,North,8
418,Company 418,South,9
419,Company 419,West,10
420,Company 420,North,1
421,Company 421,South,2
422,Company 422,West,3
423,Company 423,North,4
424,Company 424,South,5
425,Company 425,West,6
426,Company 426,North,7
427,Company 427,South,8
428,Company 428,West,9
429,Company 429,North,10
430,Company 430,South,1
431,Company 431,West,2
432,Company 432,North,3
433,Company 433,South,4
434,Company 434,West,5
435,Company 435,North,6
436,Company 436,South,7
437,Company 437,West,8
438,Company 438,North,9
439,Company 439,South,10
440,Company 440,West,1
441,Company 441,North,2
442,Company 442,South,3
443,Company 443,West,4
444,Company 444,North,5
445,Company 445,South,6
446,Company 446,West,7
447,Company 447,North,8
448,Company 448,South,9
449,Company 449,West,10
450,Company 450,North,1
451,Company 451,South,2
452,Company 452,West,3
453,Company 453,North,4
454,Company 454,South,5
455,Company 455,West,6
456,Company 456,North,7
457,Company 457,South,8
458,Company 458,West,9
459,Company 459,North,10
460,Company 460,South,1
461,Company 461,West,2
462,Company 462,North,3
463,Company 463,South,4
464,Company 464,West,5
465,Company 465,North,6
466,Company 466,South,7
467,Company 467,West,8
468,Company 468,North,9
469,Company 469,South,10
470,Company 470,West,1
471,Company 471,North,2
472,Company 472,South,3
473,Company 473,West,4
474,Company 474,North,5
475,Company 475,South,6
476,Company 476,West,7
477,Company 477,North,8
478,Company 478,South,9
479,Company 479,West,10
480,Company 480,North,1
481,Company 481,South,2
482,Company 482,West,3
483,Company 483,North,4
484,Company 484,South,5
485,Company 485,West,6
486,Company 486,North,7
487,Company 487,South,8
488,Company 488,West,9
489,Company 489,North,10
490,Company 490,South,1
491,Company 491,West,2
492,Company 492,North,3
493,Company 493,South,4
494,Company 494,West,5
495,Company 495,North,6
496,Company 496,South,7
497,Company 497,West,8
498,Company 498,North,9
499,Company 499,South,10
500,Company 500,West,1
